RamanShift,CorrectedData
30.1047,150.0208019842424
32.3739,139.21952916100145
34.6426,126.91825483755245
36.9109,116.5169761214921
39.1787,104.3156888512345
41.4461,94.0143877000239
43.7131,84.26306629794769
45.9796,74.16171733494929
48.2456,61.66033265834143
50.5112,51.90890337381969
52.7764,40.257419970476235
55.0411,30.605872418314235
57.3054,17.604250284762628
59.5692,8.05254283119162
61.8326,-3.0492608570710757
64.0955,-10.151171775223178
66.3579,-19.45317045634645
68.6199,-29.70513602331664
70.8815,-37.356753261836644
73.1426,-35.30741020330051
75.4032,-23.456121685137276
77.6634,21.39845017625197
79.9231,139.25787759112166
82.1824,413.9237325557418
84.4412,885.0475856738038
86.6995,1506.4310034097614
88.9574,2116.875543377593
91.2148,2545.732748126967
93.4717,2750.354139038796
95.7282,2793.7412120366653
97.9842,2789.8954355406195
100.2398,2753.8682500332907
102.4949,2715.711068098356
104.7495,2685.575274780812
107.0036,2652.062227968543
109.2573,2587.3732586936812
111.5105,2535.659671467737
113.7632,2467.4227449284876
116.0154,2365.9637323571146
118.2672,2321.8338623605705
120.5185,2245.634339886173
122.7693,2181.8163466629
125.0197,2122.331041963386
127.2696,2075.129563242102
129.519,2045.6130267302096
131.7679,2009.1325279075756
134.0163,1978.2891417979345
136.2642,1952.233923333696
138.5117,1941.2179076643806
140.7587,1899.0921104171675
143.0052,1871.6075278070575
145.2512,1822.7651370581318
147.4967,1793.065896678394
149.7417,1744.4107469481996
151.9863,1702.4006102172425
154.2304,1701.2363913911108
156.4739,1667.868978351387
158.717,1656.5992419672891
160.9596,1649.3280364293455
163.2017,1658.506199362093
165.4433,1667.2345518967877
167.6844,1632.8638985796242
169.925,1608.995027284452
172.1651,1563.2287095564805
174.4047,1512.6157008509713
176.6439,1472.9567409908968
178.8825,1445.0025546730747
181.1206,1428.203851864754
183.3582,1406.411328083159
185.5954,1388.6256645634758
187.832,1356.9475284767768
190.0681,1361.6775731078787
192.3037,1363.7664381721224
194.5388,1345.3147497680734
196.7734,1337.423120356633
199.0075,1337.9921489455553
201.2411,1345.1224211683636
203.4742,1334.6645092786603
205.7068,1345.668972078824
207.9389,1340.086355024588
210.1704,1347.2171901149977
212.4015,1326.7119959482343
214.632,1309.5212776503072
216.862,1302.2455270801065
219.0915,1299.0352230013098
221.3205,1283.3408311551393
223.549,1295.1128042924665
225.777,1283.851582330753
228.0044,1264.2075922363338
230.2314,1252.8812481370294
232.4578,1226.1729515185834
234.6837,1202.9830913379283
236.909,1194.0620442902673
239.1339,1170.8601750409725
241.3582,1152.5278363147963
243.582,1131.31536912789
245.8053,1133.473102971126
248.0281,1129.201356022224
250.2503,1110.2504351241728
252.472,1113.520635827948
254.6932,1101.112242582021
256.9139,1087.4255286996572
259.134,1089.2607564829996
261.3536,1099.618177359937
263.5727,1105.7980318657496
265.7912,1122.7505495395383
268.0092,1146.075948862423
270.2267,1170.2244370880185
272.4436,1183.1462100091805
274.6601,1184.0414517165218
276.8759,1178.660334469193
279.0913,1188.0030186859312
281.3061,1189.7696529988702
283.5204,1200.260374160116
285.7341,1193.1253070240764
287.9473,1191.264564442557
290.16,1186.228247336111
292.3721,1150.3664447126444
294.5837,1126.2292337177823
296.7947,1094.516679993486
299.0052,1067.778837919423
301.2152,1044.8157509300977
303.4246,1025.8774517822242
305.6334,1015.7139627843617
307.8418,983.3752959862948
310.0495,970.3614532806687
312.2568,947.6224267263763
314.4635,905.7081986786959
316.6696,875.3687420166825
318.8752,816.254020562309
321.0802,807.4139893838617
323.2847,786.9485953870874
325.4887,780.5577774035926
327.692,781.4914663954992
329.8949,800.4995855193504
332.0972,808.2320501167765
334.2989,817.9387675244111
336.5001,816.5196369965679
338.7007,795.3745496081744
340.9008,761.3533882689612
343.1003,702.0060279349136
345.2992,672.8823359484845
347.4976,650.4321726320659
349.6955,607.7053915792276
351.8927,608.801839879218
354.0895,575.2713585442318
356.2856,573.813782498446
358.4812,543.8289409133242
360.6763,548.9166572221934
362.8707,524.176749420091
365.0646,530.4590300128896
367.258,517.8633062646945
369.4508,523.7893801350215
371.643,539.2370484047542
373.8346,543.3561026168823
376.0257,559.096328922026
378.2162,573.2575080372449
380.4062,568.2394150886357
382.5956,535.1418194697208
384.7844,509.2144848916291
386.9726,473.15716971407096
389.1603,450.51962720461324
391.3474,437.0516058992512
393.5339,427.6028498287833
395.7199,429.7230986534935
397.9052,443.4620877576376
400.09,459.76954822823996
402.2743,471.1952067177058
404.4579,496.68878528074424
406.641,515.1500012601145
408.8235,529.5785670316877
411.0054,569.1241898198359
413.1868,613.1365715531456
415.3675,683.5654084689622
417.5477,698.560390673267
419.7273,636.7712014363867
421.9064,542.6975170430455
424.0848,464.9390074102553
426.2627,420.095337028054
428.4399,391.4161657370903
430.6166,347.4011491770598
432.7928,322.19993907349635
434.9683,281.36218367792367
437.1432,256.33752801986634
439.3176,249.42561431522768
441.4914,231.37608221653613
443.6645,217.53856888206474
445.8371,219.71270915632567
448.0091,221.69813570844667
450.1806,229.7444790104289
452.3514,196.8013673172925
454.5216,190.7684265866135
456.6913,189.0952808079544
458.8603,191.88155206319357
461.0288,190.92686054325804
463.1967,180.93082452025942
465.3639,180.19306035704153
467.5306,171.9631826071402
469.6967,167.4908040221619
471.8622,159.07553563408146
474.0271,152.36698679996607
476.1914,137.1647652861286
478.3551,135.518477335213
480.5182,134.82772781821677
482.6807,148.94212025095248
484.8426,162.06125680095738
487.0039,168.03473814634685
489.1647,197.3621633446253
491.3248,225.69312977295021
493.4843,230.7272328348572
495.6432,218.764065676952
