RamanShift,CorrectedData
30.1047,1624.0726164472037
32.3739,1506.845037562372
34.6426,1388.4174424368134
36.9109,1275.9897997613523
39.1787,1163.762064342637
41.4461,1046.4841782274168
43.7131,932.6560718248213
45.9796,821.0776650791368
48.2456,707.6488686080888
50.5112,596.1195848186264
52.7764,483.8897090412089
55.0411,370.25913064510036
57.3054,258.67773416066717
59.5692,147.89540041568443
61.8326,35.26200765114996
64.0955,-73.02256737089249
66.3579,-177.8584482410191
68.6199,-279.99502905435816
70.8815,-362.9299271001403
73.1426,-404.157962517256
75.4032,-300.82032977462416
77.6634,103.44581419688109
79.9231,1246.3563176614803
82.1824,3934.8770278489355
84.4412,8978.923779525448
86.6995,16120.812368108449
88.9574,23250.108499226128
91.2148,28216.877717298557
93.4717,30516.385334244726
95.7282,30954.496379814835
97.9842,30768.67557859525
100.2398,30061.037345627352
102.4949,29286.495788265787
104.7495,28361.01471325482
107.0036,27372.757634473754
109.2573,26495.68778219176
111.5105,25598.06811295042
113.7632,24749.26131833445
116.0154,23995.82983394788
118.2672,23484.335847902134
120.5185,22913.741308350334
122.7693,22449.207928602245
125.0197,22048.19719283022
127.2696,21665.37036071454
129.519,21357.538471453503
131.7679,20978.56234759172
134.0163,20672.102598098405
136.2642,20311.469622157158
138.5117,19917.87361223055
140.7587,19487.424557666465
143.0052,19160.83224863405
145.2512,18729.056280428216
147.4967,18308.30605673554
149.7417,18045.44079395204
151.9863,17772.9195253907
154.2304,17588.801103910057
156.4739,17305.394204639488
158.717,17121.807326820344
160.9596,16815.79879664004
163.2017,16427.42676906792
165.4433,15993.649230915347
167.6844,15487.824004719412
169.925,15096.708753080718
172.1651,14587.210983721621
174.4047,14161.788053397402
176.6439,13806.497172991229
178.8825,13452.595411768387
181.1206,13162.8397009292
183.3582,12880.986837148037
185.5954,12677.393485470866
187.832,12497.5661821338
190.0681,12320.811336599007
192.3037,12228.235233353003
194.5388,12052.844033674191
196.7734,12009.09377655862
199.0075,11949.790380473893
201.2411,12019.9396437967
203.4742,11956.347245405803
205.7068,12026.1687439806
207.9389,12045.809578636998
210.1704,12084.575068229227
212.4015,12076.070411153425
214.632,12168.850684959976
216.862,12203.920846438567
219.0915,12276.885730690388
221.3205,12336.800050777409
223.549,12435.36839699277
225.777,12571.495236261602
228.0044,12753.584911155363
230.2314,13018.19163853056
232.4578,13235.21950770786
234.6837,13416.822477826012
236.909,13523.554375671574
239.1339,13404.51889386289
241.3582,13147.76958978277
243.582,12762.60988676883
245.8053,12436.393076681
248.0281,12122.722323753114
250.2503,11822.90066785508
252.472,11688.281027629591
254.6932,11616.166203490337
256.9139,11473.458878968193
259.134,11450.961621432387
261.3536,11459.226883517547
263.5727,11545.90700334871
265.7912,11509.954204458629
268.0092,11555.720594921006
270.2267,11494.658167709998
272.4436,11432.668800242562
274.6601,11278.654254989076
276.8759,11113.26618009325
279.0913,10956.856110912238
281.3061,10766.575471670549
283.5204,10705.175577024134
285.7341,10631.957633963193
287.9473,10641.972742426171
290.16,10768.721896031939
292.3721,10917.055981979664
294.5837,11190.625779781276
296.7947,11440.781959778165
299.0052,11598.675080405465
301.2152,11360.505585690487
303.4246,10989.473803673805
305.6334,10372.12994879094
307.8418,9787.274125582677
310.0495,9306.056334868506
312.2568,8838.476479595187
314.4635,8482.134369648917
316.6696,8216.92972653113
318.8752,8008.562186921923
321.0802,7969.031305332101
323.2847,7994.236556186848
325.4887,7977.227334221043
327.692,7836.20295422721
329.8949,7683.012651225599
332.0972,7342.005581874448
334.2989,7055.930826001862
336.5001,6688.787390015916
338.7007,6397.574209765362
340.9008,6214.190154211108
343.1003,6025.134028338312
345.2992,5882.604574990246
347.4976,5734.500476758843
349.6955,5646.770357409992
351.8927,5624.362783364593
354.0895,5525.476264575838
356.2856,5492.559254753296
358.4812,5380.260152351788
360.6763,5360.977300900546
362.8707,5297.558990126203
365.0646,5278.10345614564
367.258,5239.958882100142
