RamanShift,CorrectedData
30.1047,165.29028376317902
32.3739,150.05375461900712
34.6426,138.06722382193237
36.9109,127.18068821851438
39.1787,112.24414327464048
41.4461,104.20758318439104
43.7131,90.97100101940498
45.9796,78.68438880924535
48.2456,67.9977376737651
50.5112,54.861037945973365
52.7764,45.12427927890178
55.0411,31.287450776971657
57.3054,20.000541093361466
59.5692,6.713538568375181
61.8326,-3.4235686576886444
64.0955,-12.810792511666833
66.3579,-24.84811071894533
68.6199,-34.43537302509291
70.8815,-39.97218094305228
73.1426,-39.657791976389646
75.4032,-20.291064306583664
77.6634,29.92954006622884
79.9231,179.60576184964336
82.1824,506.53934145196
84.4412,1071.2320174854217
86.6995,1807.735523496877
88.9574,2531.101582320856
91.2148,3042.881898714532
93.4717,3274.9281521240628
95.7282,3331.341991566789
97.9842,3315.925033310768
100.2398,3258.9288603106374
102.4949,3204.555022361785
104.7495,3162.3050366703114
107.0036,3121.4303883967646
109.2573,3057.1825310786444
111.5105,2962.3628870391453
113.7632,2876.872848029638
116.0154,2796.2637761778633
118.2672,2701.3370048428346
120.5185,2604.8938394209276
122.7693,2498.835558295147
125.0197,2417.263413799561
127.2696,2317.3286332798807
129.519,2265.432419909185
131.7679,2203.675953687264
134.0163,2159.860391959588
136.2642,2139.4868700348625
138.5117,2120.4565016231936
140.7587,2092.770379039816
143.0052,2061.229573395402
145.2512,2001.2351348729183
147.4967,1922.7880930430374
149.7417,1880.13945746408
151.9863,1826.6902184664857
154.2304,1798.0913475793009
156.4739,1766.793798064669
158.717,1760.4985052038212
160.9596,1781.4063866100507
163.2017,1771.5683422916643
165.4433,1779.4852544429073
167.6844,1770.9579875423403
169.925,1755.0873882736726
172.1651,1685.1242856110334
174.4047,1623.4194909776784
176.6439,1573.4737989456198
178.8825,1540.3879878526773
181.1206,1496.86282030193
183.3582,1467.7490434925803
185.5954,1454.6473896552006
187.832,1430.4085763428736
190.0681,1427.8833065622084
192.3037,1411.9722690157282
194.5388,1401.1261381271238
196.7734,1395.495574200363
199.0075,1388.581223528153
201.2411,1400.483718448245
203.4742,1414.0536774125792
205.7068,1427.6417048682586
207.9389,1416.4483911218513
210.1704,1421.7743122035063
212.4015,1406.6700299788909
214.632,1416.43609209593
216.862,1401.1730321358464
219.0915,1394.9313695155045
221.3205,1385.5116096400366
223.549,1391.9142439652642
225.777,1382.7397500918905
228.0044,1357.5885917014782
230.2314,1346.1112186481928
232.4578,1329.8580672103144
234.6837,1300.5795602050111
