RamanShift,CorrectedData
30.1047,6200.754565016704
32.3739,5801.182850056319
34.6426,5397.411073088387
36.9109,4998.589114093535
39.1787,4597.166799078276
41.4461,4199.993904063232
43.7131,3802.020159097355
45.9796,3407.645252229657
48.2456,3003.768833488944
50.5112,2605.840518827565
52.7764,2208.259894160184
55.0411,1822.376519343055
57.3054,1419.589932149834
59.5692,1031.1996521304109
61.8326,641.3051846387755
64.0955,256.65602471692057
66.3579,-127.748339006212
68.6199,-496.0084204682412
70.8815,-839.7734574008795
73.1426,-1085.8877324117184
75.4032,-1092.137138771513
77.6634,-477.6967217325714
79.9231,1651.5693839028131
82.1824,7024.601815522596
84.4412,18142.59119399904
86.6995,36977.97806995839
88.9574,48434.402812600994
91.2148,53357.755421347385
93.4717,54109.52541127412
95.7282,54161.051763880154
97.9842,53919.67291956922
100.2398,53452.87677713451
102.4949,52890.10069617253
104.7495,52460.28150175099
107.0036,51792.4054900366
109.2573,51541.60843259329
111.5105,50812.67558306088
113.7632,50444.29167966319
116.0154,50038.44095249721
118.2672,49761.85712721708
120.5185,49278.323429092496
122.7693,48832.722585774616
125.0197,48169.33683213133
127.2696,48194.39791470333
129.519,47706.88709833793
131.7679,47479.435165938485
134.0163,46509.17242333947
136.2642,46292.02870158102
138.5117,46116.983366611545
140.7587,45581.96532145918
143.0052,45133.653007982255
145.2512,44442.624412219404
147.4967,44350.95706887276
149.7417,43835.92806821822
151.9863,43418.014057022105
154.2304,42797.69124369145
156.4739,42491.035402453184
158.717,42307.92187955731
160.9596,41746.42559634346
163.2017,41027.6210510721
165.4433,40895.13232453939
167.6844,40312.23308726531
169.925,40035.34660081856
172.1651,39438.295723645424
174.4047,39100.4529138388
176.6439,38670.44023510862
178.8825,38162.979360160265
181.1206,38020.64157499472
183.3582,37546.04778398319
185.5954,37024.41851129045
187.832,36707.72390562084
190.0681,36159.383745434505
192.3037,36073.46744211438
194.5388,35997.29404544957
196.7734,34845.382244494525
199.0075,35208.550368330754
201.2411,34621.06639758598
203.4742,34640.09796080239
205.7068,34228.662340311595
207.9389,33867.47647204418
210.1704,33455.50694964413
212.4015,33333.92002808069
214.632,32726.081627768053
216.862,32690.75733578122
219.0915,32226.912411934376
221.3205,31852.261789134172
223.549,31771.520078018097
225.777,31402.75157070106
228.0044,31194.22024158276
230.2314,30780.83975103541
232.4578,30445.97344748903
234.6837,30167.384371565255
236.909,30297.835259426
239.1339,29280.838545559363
241.3582,29243.50636147512
243.582,28884.600545874666
245.8053,28554.18264502433
248.0281,28236.013916344462
250.2503,27962.35533171354
252.472,27486.71758064996
254.6932,27314.311073048557
256.9139,26920.54594393702
259.134,27050.23205519995
261.3536,26279.97899951646
263.5727,26259.646099063393
265.7912,25830.742413217806
268.0092,25626.376738760322
270.2267,25376.907614164134
272.4436,24859.893321638694
274.6601,24761.64188962437
276.8759,24507.211097962638
279.0913,24087.608478878545
281.3061,23822.491319525056
283.5204,23591.66666617905
285.7341,23236.14132689253
287.9473,23164.07187380083
290.16,22725.01464667791
292.3721,22584.225753657003
