RamanShift,CorrectedData
30.1047,6678.412186741428
32.3739,6249.655492964506
34.6426,5818.998732403463
36.9109,5388.5917757776215
39.1787,4963.234435616314
41.4461,4535.326470562956
43.7131,4111.417589628621
45.9796,3685.2574564711076
48.2456,3261.145693634041
50.5112,2834.9318868084656
52.7764,2416.4155890739708
55.0411,1994.746325160823
57.3054,1573.6235956351343
59.5692,1152.0968811155508
61.8326,742.4156464844829
64.0955,327.72934510337194
66.3579,-78.66257709049688
68.6199,-480.5606774371321
70.8815,-856.8647274373973
73.1426,-1130.619697790989
75.4032,-1171.4619991189772
77.6634,-604.7667471516534
79.9231,1460.9526452860614
82.1824,6745.2888069890505
84.4412,17661.53435214267
86.6995,37956.73182747939
88.9574,51266.623603116335
91.2148,56395.951669603324
93.4717,56732.75750482393
95.7282,56556.232022702214
97.9842,56223.66556983466
100.2398,55727.397927255435
102.4949,55296.61831376207
104.7495,54793.4653908781
107.0036,54266.077267160894
109.2573,53911.091503233154
111.5105,53354.69511705684
113.7632,52883.974587483
116.0154,52464.265859815714
118.2672,52120.254350519346
120.5185,51666.224951415585
122.7693,51200.21203312359
125.0197,50559.94944960028
127.2696,50457.12054280043
129.519,49933.30814907936
131.7679,49618.494600221165
134.0163,48889.961728676855
136.2642,48566.74087071252
138.5117,48286.51287369465
140.7587,47802.45809932231
143.0052,47339.00642642946
145.2512,46743.68725582546
147.4967,46518.47951492961
149.7417,46033.461663724374
151.9863,45605.461697007384
154.2304,45085.0071492417
156.4739,44668.62509883573
158.717,44400.14217334785
160.9596,43875.28455365018
163.2017,43272.527976613404
165.4433,43006.99774035538
167.6844,42475.31871026868
169.925,42134.61532167591
172.1651,41559.01158514651
174.4047,41252.43108990377
176.6439,40783.64700958082
178.8825,40256.78210528654
181.1206,40089.20873029331
183.3582,39576.8488353057
185.5954,39120.97397013618
187.832,38720.155288828784
190.0681,38139.313554217784
192.3037,37983.61914193594
194.5388,37838.59204622288
196.7734,36782.95188148207
199.0075,37047.66788373104
201.2411,36429.75892115786
203.4742,36338.79349147389
205.7068,35885.589728092935
207.9389,35499.165401040904
210.1704,35099.13792148778
212.4015,34882.024345611935
214.632,34336.741378600374
216.862,34182.55537681986
219.0915,33651.38235326976
221.3205,33328.73797912391
