RamanShift,CorrectedData
30.1047,1113.923175373141
32.3739,1031.6306971270715
34.6426,951.5882077417701
36.9109,871.3456857616982
39.1787,790.4031002154348
41.4461,712.5604114181017
43.7131,630.5175717807896
45.9796,556.0245265889847
48.2456,474.631214822997
50.5112,399.3875699028907
52.7764,316.9435205024179
55.0411,239.2989913014548
57.3054,162.95390381044217
59.5692,85.50817714683083
61.8326,4.3617287985325675
64.0955,-66.38552460162265
66.3579,-144.8836664644221
68.6199,-216.5321170092624
70.8815,-262.57884906771227
73.1426,-278.0696723154918
75.4032,-170.997773265619
77.6634,207.94643948491444
79.9231,1230.8242656068714
82.1824,3542.04700269155
84.4412,7782.825936022007
86.6995,13599.72231546083
88.9574,19248.547313042345
91.2148,23180.56196480366
93.4717,24923.6271142964
95.7282,25180.853373266593
97.9842,24932.501104223968
100.2398,24252.130417869743
102.4949,23496.35117558012
104.7495,22594.92299620999
107.0036,21674.65526365074
109.2573,20811.20713584453
111.5105,19955.18755398696
113.7632,19116.75525116156
116.0154,18395.018760900006
118.2672,17892.98642556639
120.5185,17340.866403574637
122.7693,16882.81667440881
125.0197,16490.595044144295
127.2696,16089.709150028333
129.519,15847.316464402202
131.7679,15522.724298710089
134.0163,15234.689805923024
136.2642,14897.919983784795
138.5117,14589.02167769229
140.7587,14216.251584063202
143.0052,13894.416253425006
145.2512,13527.172094142672
147.4967,13169.425375636994
149.7417,12955.982232057053
151.9863,12699.548665857677
154.2304,12567.880549933874
156.4739,12360.783630185164
158.717,12195.413526832272
160.9596,11914.275736488078
163.2017,11598.475633811337
165.4433,11211.668474318038
167.6844,10807.609397539425
169.925,10416.603430890056
172.1651,9968.655493708393
174.4047,9610.670401166863
176.6439,9282.60286875134
178.8825,8979.157515841009
181.1206,8712.03886898901
183.3582,8483.001364956923
185.5954,8303.549353385934
187.832,8152.937099087214
190.0681,8038.168783836449
192.3037,7929.648507879951
194.5388,7857.530291082354
196.7734,7817.518074011799
199.0075,7791.415718661132
201.2411,7857.977008848019
203.4742,7845.355650475969
205.7068,7908.805270868726
207.9389,7943.379418896482
210.1704,8044.931564341377
212.4015,8078.415097551754
214.632,8200.93332842665
216.862,8299.689486080948
219.0915,8371.636717620204
221.3205,8497.928087153075
223.549,8660.816575071864
225.777,8845.455076789585
228.0044,9053.54640111109
230.2314,9360.54326838669
232.4578,9686.39830843122
234.6837,9903.714057454099
236.909,10047.042954800752
239.1339,9901.737340779482
241.3582,9700.199455228154
243.582,9321.981438967272
245.8053,8963.88533581534
248.0281,8661.863096371055
250.2503,8386.21658159426
