RamanShift,CorrectedData
30.1047,1149.9051251305389
32.3739,1066.589737398157
34.6426,981.424338166724
36.9109,896.458905271291
39.1787,817.3434067326656
41.4461,731.3278016070666
43.7131,654.4120407772781
45.9796,571.4960678128059
48.2456,488.37981973903493
50.5112,404.16322786638887
52.7764,322.99621862149314
55.0411,243.27871438934082
57.3054,160.1606343249626
59.5692,77.89189515060193
61.8326,-2.4775880131041106
64.0955,-74.84790082443743
66.3579,-151.21910419057576
68.6199,-225.3905112881677
70.8815,-278.4599246150111
73.1426,-287.37289501769635
75.4032,-169.27219152816713
77.6634,261.0022876768537
79.9231,1387.9623354498362
82.1824,3925.4197420332284
84.4412,8538.886283789854
86.6995,14841.723697828344
88.9574,20952.99363586846
91.2148,24975.907601212733
93.4717,26698.176887633756
95.7282,26796.962539145043
97.9842,26379.975332778344
100.2398,25525.82577759579
102.4949,24583.674118859744
104.7495,23467.38034657433
107.0036,22450.75420490691
109.2573,21522.105203351068
111.5105,20694.942626892822
113.7632,19881.225545297166
116.0154,19228.31282137964
118.2672,18725.413119143548
120.5185,18246.93491030906
122.7693,17829.836479342222
125.0197,17500.775928239724
127.2696,17163.111180699892
129.519,16867.39998541331
131.7679,16502.349919439435
134.0163,16134.818391163737
136.2642,15692.812643948182
138.5117,15205.689759806552
140.7587,14727.206663824512
143.0052,14294.870129030822
145.2512,13837.286781182182
147.4967,13436.763103086587
149.7417,13132.90543917917
151.9863,12838.769999527427
154.2304,12686.86286286981
156.4739,12359.439979557068
158.717,12222.25717307132
160.9596,11929.6701433003
163.2017,11611.734467909162
165.4433,11223.155605266362
167.6844,10800.738897623016
169.925,10409.48957499869
172.1651,9996.312759405559
174.4047,9656.863468760901
176.6439,9299.34662101887
178.8825,9010.817037564997
181.1206,8783.029446791334
183.3582,8588.738486981772
185.5954,8431.398708589917
187.832,8267.214576181987
190.0681,8155.190470010219
192.3037,8066.880687654706
194.5388,7983.389445143643
196.7734,7985.220877836418
199.0075,7952.629041258531
201.2411,7997.717911083272
203.4742,8011.941383457645
205.7068,8099.953274551477
207.9389,8147.307320415182
210.1704,8222.907176099648
212.4015,8275.956415182696
214.632,8351.55852901307
216.862,8413.566926179963
219.0915,8433.784931756982
221.3205,8456.565786682067
223.549,8509.162647555318
225.777,8496.47858641118
228.0044,8543.366590192474
230.2314,8628.77956087724
232.4578,8642.62031500985
234.6837,8686.991582846887
236.909,8679.646008218733
239.1339,8574.436148085857
241.3582,8465.564472612265
243.582,8280.283366217605
245.8053,8169.195128665893
248.0281,8076.8519769183
250.2503,7992.156046244061
252.472,7961.359391143882
254.6932,8023.113986196917
256.9139,8079.221726368729
259.134,8224.03442639374
