RamanShift,CorrectedData
30.1047,2020.8508404828256
32.3739,1884.125415270716
34.6426,1747.2999698500978
36.9109,1608.7744651712085
39.1787,1474.7988447112853
41.4461,1338.1730358598206
43.7131,1203.0969512583176
45.9796,1064.7204901665496
48.2456,932.4935398133172
50.5112,795.3659767802172
52.7764,662.98766832391
55.0411,530.6084737473959
57.3054,394.2282457237983
59.5692,260.2468316201556
61.8326,130.51407486122372
64.0955,-7.020183730709846
66.3579,-131.10610463849827
68.6199,-255.74377821335926
70.8815,-362.73198505652556
73.1426,-419.11695088888547
75.4032,-347.54127773879725
77.6634,45.70661934372072
79.9231,1182.1917972460133
82.1824,3810.47931239836
84.4412,8690.984209409122
86.6995,15450.37149478187
88.9574,22121.30608811033
91.2148,26721.202754484515
93.4717,28803.57603778139
95.7282,29206.290214665867
97.9842,29029.85927376712
100.2398,28369.946911651426
102.4949,27668.66653458645
104.7495,26771.9312651404
107.0036,25856.203949194827
109.2573,24991.847164911953
111.5105,24142.323231891976
113.7632,23314.344219816623
116.0154,22600.421956944385
118.2672,22065.068038390313
120.5185,21485.04383326524
122.7693,21040.810490029326
125.0197,20583.628942292293
127.2696,20238.95991325575
129.519,19957.363920285028
131.7679,19656.40127835586
134.0163,19387.08210287035
136.2642,19053.966312666576
138.5117,18689.963632711806
140.7587,18358.383597433647
143.0052,18030.63555436008
145.2512,17676.278667435243
147.4967,17261.62192029692
149.7417,17004.12411982011
151.9863,16787.94390026359
154.2304,16617.939725844917
156.4739,16325.719892902194
158.717,16165.492531594138
160.9596,15871.765608822265
163.2017,15504.846929833175
165.4433,15082.394141155808
167.6844,14632.564734270642
169.925,14224.966049834211
172.1651,13736.405282177402
174.4047,13365.639483381452
176.6439,13000.67556816354
178.8825,12635.420317584454
181.1206,12378.030382698233
183.3582,12081.512288204718
185.5954,11890.67243502344
187.832,11691.967103258814
190.0681,11561.652454108531
192.3037,11439.23453185062
194.5388,11344.569265146582
196.7734,11286.112468265585
199.0075,11270.419842031102
201.2411,11297.796974405484
203.4742,11293.449340646883
205.7068,11328.782303035496
207.9389,11310.701110917029
210.1704,11406.310900349368
212.4015,11360.066694283383
214.632,11476.573401606855
216.862,11579.285817606878
219.0915,11621.158622804844
221.3205,11736.696381929269
223.549,11883.2535434971
225.777,12081.73443865831
228.0044,12304.94327973036
230.2314,12628.034158213348
232.4578,12963.911042557955
234.6837,13169.527774934519
236.909,13298.13806787427
239.1339,13186.695502213184
241.3582,12880.203525805844
243.582,12427.965454639892
245.8053,12036.384475900932
248.0281,11684.613652494925
250.2503,11335.555926963989
252.472,11130.164125004112
254.6932,11000.290958955733
256.9139,10851.38902985765
259.134,10798.010828745768
261.3536,10693.508738142105
263.5727,10706.535032588565
265.7912,10581.541879691978
268.0092,10559.981339993821
270.2267,10460.50536822015
272.4436,10356.71581349723
274.6601,10201.914420346258
276.8759,10054.252829721294
279.0913,9916.782580557245
281.3061,9821.605111246507
283.5204,9766.07176101366
285.7341,9735.48377086723
287.9473,9810.042284155033
290.16,9947.148346870063
292.3721,10170.552906904888
294.5837,10470.756812680605
296.7947,10746.06081091279
299.0052,10839.765543609452
301.2152,10604.671545317993
303.4246,10265.429242188162
305.6334,9657.188954323008
307.8418,9082.250899171293
310.0495,8580.5651976099
312.2568,8205.631879693212
314.4635,7851.700889669957
316.6696,7679.172089732567
318.8752,7561.445263556456
321.0802,7544.720118025343
323.2847,7554.996284408493
325.4887,7552.723318527964
327.692,7421.900700655864
329.8949,7266.477835537071
332.0972,6922.654053697459
334.2989,6594.578612998132
336.5001,6255.700702073669
338.7007,5974.6194436128535
340.9008,5855.033897747475
343.1003,5604.9930648631325
345.2992,5478.745886795097
347.4976,5414.841249328716
349.6955,5315.177983461876
351.8927,5387.754866044059
354.0895,5292.370620772985
356.2856,5236.92391746883
358.4812,5205.0133730280595
360.6763,5188.83755197792
362.8707,5059.944966795534
365.0646,5072.284078069657
367.258,5012.7532957896055
369.4508,4967.950979221874
371.643,4998.075437505411
373.8346,4923.974930099665
376.0257,4867.54766648334
378.2162,4713.641806895388
380.4062,4573.305462899285
382.5956,4375.886698922102
384.7844,4277.283533657879
386.9726,4116.5439420417915
389.1603,4002.1158562361943
391.3474,3867.597167238011
393.5339,3830.4857260230056
395.7199,3706.5793448909862
397.9052,3690.875797836885
400.09,3650.422821789871
402.2743,3686.3681167703508
404.4579,3715.009346294515
406.641,3867.294137014873
408.8235,4011.2700784338267
411.0054,4267.58472138087
413.1868,4638.885576572793
415.3675,4884.720112050545
417.5477,5033.435749466225
419.7273,5027.679861624743
421.9064,4879.999770996652
424.0848,4687.442749775717
426.2627,4436.60602135571
428.4399,4127.136762255981
430.6166,3696.782104629834
432.7928,3317.2891393592217
434.9683,2933.754920358293
437.1432,2689.5764683682974
439.3176,2484.6007747929543
441.4914,2337.574804140215
443.6645,2290.3454960720337
445.8371,2164.7097668746137
448.0091,2050.564509930711
450.1806,1943.1065969759911
452.3514,1884.8828792404784
454.5216,1869.1401885231462
456.6913,1752.5753377741312
458.8603,1758.6351212521768
461.0288,1810.3663156902658
463.1967,1772.1156802350524
465.3639,1839.77995592952
467.5306,1898.755866095511
469.6967,2025.8401156570617
471.8622,2116.32939055068
474.0271,2220.1203564544776
476.1914,2248.4096578832796
478.3551,2228.793917150717
480.5182,2179.8197340863335
482.6807,2183.3336862317483
484.8426,2251.732329330396
487.0039,2546.0121972923735
489.1647,2934.219801510473
491.3248,3333.8016279173717
493.4843,3456.6541331035623
495.6432,3429.473740321533
497.8015,3291.8568382572375
499.9592,3253.199781301908
502.1163,3183.9988909282
504.2728,2926.400456076797
506.4287,2616.7007338483854
508.5839,2213.395952079667
510.7386,1844.8823124403425
512.8927,1626.7559944661625
515.0461,1519.2631592440594
517.199,1480.0999515933981
519.3512,1486.6125011409385
521.5029,1571.7969227124267
523.6539,1645.5993162675004
525.8043,1695.3657660478311
527.9541,1712.8923398391053
530.1033,1604.5750884733534
532.2519,1610.3100456537068
534.3999,1713.3932290375487
536.5472,1953.770640179191
538.694,2377.938263498996
540.8401,2974.5420638796386
542.9856,3401.277982424428
545.1305,3504.6919304912626
547.2748,3349.9297854252727
549.4185,3018.5373895246667
551.5615,2648.9105515883784
553.704,2567.345050229964
555.8458,2500.136637573887
557.987,2544.1310400711554
560.1276,2534.9739591714315
562.2675,2564.461070883077
564.4069,2648.938025864718
566.5456,2661.750449130399
568.6837,2597.243939204771
570.8212,2285.3640679949967
572.958,1906.6063814358276
575.0942,1574.7164026083592
577.2299,1326.08963552766
579.3648,1297.171568461632
581.4992,1326.7076764172707
583.6329,1497.493421429892
585.766,1744.3742522677203
587.8985,1835.945602724063
590.0304,1825.852889148482
592.1616,1749.9415095310942
594.2922,1599.0568436034846
596.4222,1455.3442535978393
598.5515,1263.0990857557736
600.6802,1097.566671765475
602.8083,916.1923306841418
604.9358,885.9713705933282
607.0626,781.29909041266
609.1888,753.6707802020683
611.3144,768.181722208501
613.4393,664.9771911422176
615.5636,574.9524540316743
617.6873,484.05277125557404
619.8103,413.7233974431074
621.9327,351.70958238293315
624.0544,270.25657172650244
626.1756,247.60960760815942
628.2961,209.86392945971238
630.4159,143.26477423688993
632.5351,134.70737679676677
634.6537,82.23697056379388
636.7716,49.248787615342735
638.8889,65.58805920643135
641.0056,130.00001609957326
643.1216,91.22988840142352
645.237,178.57290491864478
647.3518,95.57429354561464
649.4659,144.42928039099206
651.5793,105.03309060772517
653.6922,123.2309479044743
655.8043,106.21807493957385
657.9159,121.08969313907073
660.0268,18.591022866818093
662.137,-21.432716724197235
664.2466,-32.1364922053217
666.3556,-40.92505603506288
668.4639,-71.45283962837493
670.5716,6.476134441083559
672.6786,42.10855741352498
674.785,98.5410558325566
676.8907,130.7702558207311
678.9958,238.84278251519936
681.1002,183.75525974542688
683.204,156.10430895246463
685.3072,121.78654973981975
687.4097,49.298600149955746
689.5115,67.13707700747545
691.6127,-4.151403355983348
693.7132,-60.92022528016969
695.8131,-68.52273163231075
697.9123,-58.41165668659596
700.0109,-91.33905017513098
702.1089,-51.756378297606716
704.2061,-69.66419477660747
706.3028,-6.26253628851191
708.3987,45.34925643561655
710.4941,93.92190522741657
712.5887,319.95613146508185
714.6827,570.0026555875702
716.7761,906.4621948343229
718.8688,1233.9854607447305
720.9608,1460.3231557935978
723.0522,1519.075970115875
725.1429,1331.8945792432933
727.233,1118.2796435168675
729.3224,920.0318099586439
731.4112,651.9517144079
733.4993,462.48998350356123
735.5867,295.4472373650715
737.6735,212.77409148695733
739.7596,155.021158409294
741.845,83.33904854441062
743.9298,32.3783707544535
746.014,40.88973306817206
748.0974,60.12342005439859
