RamanShift,CorrectedData
30.1047,357.5927981001461
32.3739,330.31419329315406
34.6426,301.18558491023396
36.9109,275.0569660723159
39.1787,249.97832688847416
41.4461,222.89965471721305
43.7131,194.82093441725377
45.9796,168.69214861832072
48.2456,139.0632780019288
50.5112,115.68430156267141
52.7764,91.05519690450902
55.0411,64.72594047455907
57.3054,38.84650780938704
59.5692,13.56687379829894
61.8326,-12.912987057864285
64.0955,-34.59310039393044
66.3579,-61.17336284398668
68.6199,-80.60332545704723
70.8815,-97.18192816023159
73.1426,-90.00730565343801
75.4032,-40.776621789102535
77.6634,138.26385875332215
79.9231,585.2682786528349
82.1824,1535.9907792057961
84.4412,3125.885495855884
86.6995,5245.6565486868685
88.9574,7213.808026523664
91.2148,8572.643965734622
93.4717,9164.368330550013
95.7282,9229.884999473663
97.9842,9158.047759365723
100.2398,8982.16030478749
102.4949,8778.976238719784
104.7495,8585.799074321822
107.0036,8399.532236963061
109.2573,8193.529066154962
111.5105,7915.092817413672
113.7632,7598.426664320041
116.0154,7271.083701303991
118.2672,6936.516946811182
120.5185,6521.379346576436
122.7693,6156.223776969403
125.0197,5816.753049145943
127.2696,5519.669912699679
129.519,5315.577059056702
131.7679,5136.177124446405
134.0163,5036.772691942413
136.2642,4958.566293256578
138.5117,4906.560409733028
140.7587,4810.457473130224
143.0052,4680.459866141027
145.2512,4491.569923353722
147.4967,4272.889932551998
149.7417,4080.672136603842
151.9863,3933.268735648343
154.2304,3821.1818890178693
156.4739,3755.263716712104
158.717,3771.3163005189085
160.9596,3835.7416846735123
163.2017,3912.69187569798
165.4433,3971.1688417569603
167.6844,3940.524511888185
169.925,3825.9107754176966
172.1651,3624.1794822662946
174.4047,3427.032444095671
176.6439,3242.3214363257234
178.8825,3105.3482001060247
181.1206,3015.664444162936
183.3582,2930.5718461693377
185.5954,2896.922053641463
187.832,2849.116684789833
190.0681,2821.6573288557456
192.3037,2813.2955465893356
194.5388,2801.6828705241633
196.7734,2805.420805060836
199.0075,2807.5608265831343
201.2411,2855.6543834206286
203.4742,2891.752895827284
205.7068,2961.5077555005228
207.9389,3012.770325220236
210.1704,3058.6419381512433
212.4015,3037.373897330657
214.632,3037.467475209176
216.862,3041.9739138637597
219.0915,3026.6444249966926
221.3205,3064.330189890523
223.549,3079.832359561355
225.777,3064.0520543819944
228.0044,3031.6903639269226
230.2314,2980.8983471301026
232.4578,2908.977032608593
234.6837,2837.227419170473
236.909,2766.200476534048
239.1339,2687.797146045352
241.3582,2651.568341388416
243.582,2594.514949369297
245.8053,2580.4378302783734
248.0281,2595.1378184608734
250.2503,2606.065722457647
252.472,2605.172324858166
254.6932,2604.1583821912486
256.9139,2589.8246249339877
259.134,2606.9717575218947
261.3536,2647.5504584922373
263.5727,2742.0613803125643
265.7912,2881.1551489749218
268.0092,3067.182363050744
270.2267,3258.443592299915
272.4436,3409.7893758105
274.6601,3520.5702200861238
276.8759,3590.686597532523
279.0913,3648.1889453497324
281.3061,3709.2276648309216
283.5204,3752.7031207873706
285.7341,3815.015640938085
287.9473,3895.36551547504
290.16,3879.3029964400557
292.3721,3722.6282969212984
294.5837,3547.741591213909
296.7947,3394.4930163867434
299.0052,3322.082674031247
301.2152,3216.6606317939304
303.4246,3162.5769241004823
305.6334,3122.381553209986
307.8418,3067.5744897557543
310.0495,2990.905673147289
312.2568,2871.625012118345
314.4635,2694.132385493621
316.6696,2518.5776433815713
318.8752,2330.4606089493236
321.0802,2198.881080178233
323.2847,2143.838831745051
325.4887,2129.833616337719
327.692,2193.41516520579
329.8949,2323.883188300482
332.0972,2479.7373736388627
334.2989,2618.9773859991647
336.5001,2635.55286536225
338.7007,2525.413425519208
340.9008,2343.8586539055996
343.1003,2094.0381127028545
345.2992,1895.4513406538154
347.4976,1723.2478555609478
349.6955,1592.1271562722027
351.8927,1490.1387244030548
354.0895,1408.4820256477083
356.2856,1359.506510798985
358.4812,1304.2616165648828
360.6763,1263.9467660583364
362.8707,1242.511369349667
365.0646,1237.0548238697274
367.258,1240.6765146242592
369.4508,1272.0258142484572
371.643,1388.0520829707511
373.8346,1464.854668299317
376.0257,1563.482903861805
378.2162,1680.5361086373223
380.4062,1756.7635859701504
382.5956,1680.9646223992086
384.7844,1550.7884868957813
386.9726,1366.4844316215062
389.1603,1249.9516932301385
391.3474,1134.9894947105931
393.5339,1141.797046552269
395.7199,1141.873547894671
397.9052,1248.768186459337
400.09,1391.930138549068
402.2743,1560.7085679789866
404.4579,1690.2526246449156
406.641,1816.0114428355923
408.8235,1941.1341399372295
411.0054,2078.819815175927
413.1868,2130.567548366445
415.3675,2109.176398535347
417.5477,2083.3454034035235
419.7273,1990.5735796001018
421.9064,1884.009922920759
424.0848,1731.9534092554345
426.2627,1505.5529956539704
